Category,phylum,Name,Level,WithinNWA,SEQavailable,BIN,SPsharingBIN,SPmissingSEQ.genus,SPmissingSEQ.family,AphiaID,genus,family,order,class,kingdom,TaxonomicProblems,MorphoIDProblems,Validity
Chordata,Chordata,Acipenser oxyrinchus,Species,Yes,Yes,BOLD:AAE3009,NA,NA,NA,151802,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Alepocephalus bairdii,Species,Yes,Yes,"BOLD:AAD7907, BOLD:ABY4903",NA,NA,NA,126682,Alepocephalus,Alepocephalidae,Osmeriformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Alosa aestivalis,Species,Yes,Yes,BOLD:AAB1380,Alosa pseudoharengus,NA,NA,158667,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Animalia,0,0,Unreliable - BIN sharing
Chordata,Chordata,Alosa pseudoharengus,Species,Yes,Yes,BOLD:AAB1380,Alosa aestivalis,NA,NA,158669,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Animalia,0,0,Unreliable - BIN sharing
Chordata,Chordata,Alosa sapidissima,Species,Yes,Yes,BOLD:AAA9065,NA,NA,NA,158670,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Amblyraja radiata,Species,Yes,Yes,BOLD:AAA4500,NA,NA,NA,105865,Amblyraja,Rajidae,Rajiformes,Elasmobranchii,Animalia,0,0,Reliable
Chordata,Chordata,Ammodytes americanus,Species,Yes,Yes,BOLD:AAB4332,Ammodytes dubius,NA,NA,159587,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Animalia,1,1,Unreliable - BIN sharing
Chordata,Chordata,Ammodytes dubius,Species,Yes,Yes,BOLD:AAB4332,Ammodytes americanus,NA,NA,151520,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Animalia,1,1,Unreliable - BIN sharing
Chordata,Chordata,Ammodytes hexapterus,Species,Yes,Yes,BOLD:AAB8000,NA,NA,NA,254510,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Animalia,NA,NA,Reliable
Chordata,Chordata,Anarhichas denticulatus,Species,Yes,Yes,BOLD:ABY8022,NA,NA,NA,126757,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
